,DATA_TYPE,N,DATA_LABEL,NGRAM_TFIDF_RF,EXP,WORD_TFIFD_RF,CHAR_NGRAM_TFIDF_RF,WC_RF
2,SPEAKERS,648,1675,0.8666666666666667,TB_INT,0.8387096774193549,0.896551724137931,0.8666666666666667
3,SPEAKERS,648,1675,0.3703703703703704,TB_INT,0.3846153846153846,0.3846153846153846,0.3846153846153846
4,SPEAKERS,648,1675,0.611111111111111,TB_INT,0.6470588235294117,0.6666666666666666,0.6666666666666666
5,SPEAKERS,648,1675,0.9333333333333333,TB_INT,0.9333333333333333,0.9333333333333333,0.9333333333333333
6,SPEAKERS,648,1675,0.7586206896551724,TB_INT,0.8148148148148148,0.7857142857142856,0.7857142857142856
7,SPEAKERS,648,1675,0.896551724137931,TB_INT,0.9285714285714286,0.9285714285714286,0.9285714285714286
8,SPEAKERS,648,1675,0.896551724137931,TB_INT,0.9285714285714286,0.9285714285714286,0.9285714285714286
9,SPEAKERS,648,1675,0.7058823529411765,TB_INT,0.7272727272727272,0.7741935483870969,0.7741935483870969
10,SPEAKERS,648,1675,0.8108108108108109,TB_INT,0.8484848484848485,0.8749999999999999,0.8484848484848485
11,SPEAKERS,648,1675,0.9285714285714286,TB_INT,0.9285714285714286,0.9285714285714286,0.9285714285714286
12,SPEAKERS,648,1675,0.8750000000000001,TB_INT,0.8666666666666666,0.8666666666666666,0.8666666666666666
13,SPEAKERS,648,1675,0.7999999999999999,TB_INT,0.8275862068965518,0.888888888888889,0.888888888888889
14,SPEAKERS,648,1675,0.8125000000000001,TB_INT,0.8461538461538461,0.8461538461538461,0.8461538461538461
15,SPEAKERS,648,1675,0.8571428571428571,TB_INT,0.8148148148148148,0.8571428571428571,0.8571428571428571
16,SPEAKERS,648,1675,0.8461538461538461,TB_INT,0.8461538461538461,0.888888888888889,0.8461538461538461
17,SPEAKERS,648,1675,0.7692307692307692,TB_INT,0.7692307692307692,0.7692307692307692,0.7692307692307692
18,SPEAKERS,648,1675,0.9655172413793104,TB_INT,0.9285714285714286,0.896551724137931,0.9655172413793104
19,SPEAKERS,648,1675,0.8750000000000001,TB_INT,0.896551724137931,0.9285714285714286,0.9285714285714286
0,SPEAKERS,369,1673,0.9333333333333333,TB_INT,0.9333333333333333,0.8571428571428571,0.8571428571428571
1,SPEAKERS,369,1673,0.875,TB_INT,0.8571428571428571,0.9333333333333333,0.7999999999999999
2,SPEAKERS,369,1673,0.9333333333333333,TB_INT,0.8571428571428571,0.8571428571428571,0.8571428571428571
3,SPEAKERS,369,1673,0.7058823529411765,TB_INT,0.75,0.7142857142857143,0.75
4,SPEAKERS,369,1673,1.0,TB_INT,0.875,0.823529411764706,0.823529411764706
5,SPEAKERS,369,1673,0.9333333333333333,TB_INT,0.9333333333333333,0.9333333333333333,0.9333333333333333
6,SPEAKERS,369,1673,0.9333333333333333,TB_INT,0.6666666666666666,0.7692307692307693,0.7692307692307693
7,SPEAKERS,369,1673,0.5555555555555556,TB_INT,0.8571428571428571,0.6666666666666666,0.7692307692307693
