,WORD_TFIFD_RF,NGRAM_TFIDF_RF,CHAR_NGRAM_TFIDF_RF,WC_RF,DATA_LABEL,N,EXP,DATA_TYPE
5,0.823529411764706,0.8108108108108109,0.823529411764706,0.823529411764706,1683,716,TB_NONTB,SPEAKERS
6,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.823529411764706,1683,716,TB_NONTB,SPEAKERS
7,0.972972972972973,0.9473684210526316,0.9473684210526316,0.972972972972973,1683,716,TB_NONTB,SPEAKERS
8,0.9090909090909091,0.8108108108108109,0.8571428571428571,0.9090909090909091,1683,716,TB_NONTB,SPEAKERS
9,0.9142857142857143,0.8205128205128205,0.9142857142857143,0.9142857142857143,1683,716,TB_NONTB,SPEAKERS
10,0.972972972972973,0.878048780487805,0.972972972972973,0.972972972972973,1683,716,TB_NONTB,SPEAKERS
11,0.75,0.6666666666666666,0.7272727272727272,0.7058823529411765,1683,716,TB_NONTB,SPEAKERS
12,0.7333333333333334,0.8484848484848485,0.7333333333333334,0.7333333333333334,1683,716,TB_NONTB,SPEAKERS
13,0.7878787878787877,0.7999999999999999,0.75,0.7878787878787877,1683,716,TB_NONTB,SPEAKERS
14,0.8387096774193548,0.8125000000000001,0.8387096774193548,0.8750000000000001,1683,716,TB_NONTB,SPEAKERS
15,0.9090909090909091,0.8648648648648649,0.9142857142857143,0.9090909090909091,1683,716,TB_NONTB,SPEAKERS
16,0.9714285714285714,0.923076923076923,0.9714285714285714,0.972972972972973,1683,716,TB_NONTB,SPEAKERS
17,0.9714285714285714,0.918918918918919,0.9714285714285714,0.9444444444444444,1683,716,TB_NONTB,SPEAKERS
18,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,1683,716,TB_NONTB,SPEAKERS
19,0.8387096774193549,0.8235294117647058,0.8387096774193549,0.8387096774193549,1683,716,TB_NONTB,SPEAKERS
0,0.888888888888889,0.8571428571428571,0.8571428571428571,0.888888888888889,1678,613,TB_NONTB,SPEAKERS
1,0.9285714285714286,0.8666666666666666,0.9285714285714286,0.9285714285714286,1678,613,TB_NONTB,SPEAKERS
2,0.8333333333333333,0.8,0.8333333333333333,0.8333333333333333,1678,613,TB_NONTB,SPEAKERS
3,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,1678,613,TB_NONTB,SPEAKERS
4,0.8571428571428571,0.888888888888889,0.888888888888889,0.888888888888889,1678,613,TB_NONTB,SPEAKERS
5,0.962962962962963,0.896551724137931,0.962962962962963,0.962962962962963,1678,613,TB_NONTB,SPEAKERS
6,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,1678,613,TB_NONTB,SPEAKERS
7,1.0,1.0,1.0,1.0,1678,613,TB_NONTB,SPEAKERS
8,0.9285714285714286,0.9285714285714286,0.888888888888889,0.9285714285714286,1678,613,TB_NONTB,SPEAKERS
9,0.8148148148148148,0.7857142857142857,0.8148148148148148,0.7857142857142857,1678,613,TB_NONTB,SPEAKERS
10,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.7272727272727273,1678,613,TB_NONTB,SPEAKERS
11,0.8,0.8,0.8,0.8,1678,613,TB_NONTB,SPEAKERS
12,0.8461538461538461,0.8571428571428571,0.8461538461538461,0.8461538461538461,1678,613,TB_NONTB,SPEAKERS
13,0.896551724137931,0.8387096774193549,0.896551724137931,0.896551724137931,1678,613,TB_NONTB,SPEAKERS
14,1.0,0.962962962962963,1.0,1.0,1678,613,TB_NONTB,SPEAKERS
15,0.8461538461538461,0.7857142857142857,0.8461538461538461,0.8461538461538461,1678,613,TB_NONTB,SPEAKERS
16,0.9655172413793104,0.9333333333333333,0.9655172413793104,0.9655172413793104,1678,613,TB_NONTB,SPEAKERS
17,1.0,1.0,0.9655172413793104,1.0,1678,613,TB_NONTB,SPEAKERS
18,0.9655172413793104,0.9333333333333333,0.9655172413793104,0.9655172413793104,1678,613,TB_NONTB,SPEAKERS
19,0.8799999999999999,0.8799999999999999,0.8461538461538461,0.8799999999999999,1678,613,TB_NONTB,SPEAKERS
0,0.8636363636363635,0.8260869565217391,0.8636363636363635,0.8636363636363635,1651,1041,TB_NONTB,SPEAKERS
1,0.9130434782608695,0.8076923076923077,0.9130434782608695,0.8936170212765957,1651,1041,TB_NONTB,SPEAKERS
2,0.9130434782608695,0.9019607843137256,0.9333333333333333,0.9361702127659574,1651,1041,TB_NONTB,SPEAKERS
3,0.8636363636363635,0.8695652173913043,0.8636363636363635,0.888888888888889,1651,1041,TB_NONTB,SPEAKERS
4,0.9583333333333334,0.9387755102040817,0.9583333333333334,0.9583333333333334,1651,1041,TB_NONTB,SPEAKERS
5,0.8936170212765957,0.8,0.8936170212765957,0.8695652173913043,1651,1041,TB_NONTB,SPEAKERS
6,0.8181818181818182,0.7916666666666666,0.761904761904762,0.761904761904762,1651,1041,TB_NONTB,SPEAKERS
7,0.8695652173913043,0.7999999999999999,0.9166666666666666,0.8936170212765957,1651,1041,TB_NONTB,SPEAKERS
8,0.7727272727272727,0.7555555555555556,0.7727272727272727,0.7727272727272727,1651,1041,TB_NONTB,SPEAKERS
9,0.7999999999999999,0.823529411764706,0.8372093023255814,0.8444444444444444,1651,1041,TB_NONTB,SPEAKERS
10,0.8095238095238096,0.8695652173913043,0.8095238095238096,0.8292682926829268,1651,1041,TB_NONTB,SPEAKERS
11,0.9361702127659574,0.8979591836734694,0.9361702127659574,0.9361702127659574,1651,1041,TB_NONTB,SPEAKERS
12,0.8085106382978724,0.7199999999999999,0.8181818181818182,0.7999999999999999,1651,1041,TB_NONTB,SPEAKERS
13,0.851063829787234,0.8627450980392156,0.8695652173913043,0.888888888888889,1651,1041,TB_NONTB,SPEAKERS
14,0.909090909090909,0.8749999999999999,0.909090909090909,0.9302325581395349,1651,1041,TB_NONTB,SPEAKERS
15,0.9333333333333332,0.8846153846153846,0.9333333333333332,0.9565217391304348,1651,1041,TB_NONTB,SPEAKERS
16,0.8372093023255814,0.76,0.8571428571428571,0.8571428571428571,1651,1041,TB_NONTB,SPEAKERS
17,0.8205128205128205,0.723404255319149,0.8095238095238095,0.8205128205128205,1651,1041,TB_NONTB,SPEAKERS
18,0.9565217391304348,0.8979591836734695,0.9333333333333332,0.9565217391304348,1651,1041,TB_NONTB,SPEAKERS
19,0.9130434782608695,0.888888888888889,0.888888888888889,0.9130434782608695,1651,1041,TB_NONTB,SPEAKERS
0,0.8181818181818182,0.8571428571428572,0.8571428571428572,0.8571428571428572,1686,424,TB_NONTB,SPEAKERS
1,0.8571428571428572,0.8571428571428572,0.8181818181818182,0.8571428571428572,1686,424,TB_NONTB,SPEAKERS
2,0.8181818181818182,0.8181818181818182,0.7999999999999999,0.8571428571428572,1686,424,TB_NONTB,SPEAKERS
